Name,Salary
Cam Gill,"$965,000"
Mekhi Blackmon,"$1,326,021"
Brodric Martin,"$1,326,022"
Siaki Ika,"$1,365,395"
Dax Milne,"$889,317"
Micah McFadden,"$1,003,927"
D.J. Davidson,"$1,003,529"
Jakorian Bennett,"$1,165,899"
Kelee Ringo,"$1,165,231"
Joe Gaziano,"$1,010,000"
Kyle Phillips,"$1,010,000"
Delarrin Turner-Yell,"$998,264"
Tariq Woolen,"$998,054"
Jake Andrews,"$1,162,086"
Zyon McCollum,"$995,433"
Dylan Horton,"$1,160,259"
Eric Johnson,"$995,185"
Adetomiwa Adebawore,"$1,159,227"
DaRon Bland,"$991,197"
Amen Ogbongbemiga,"$813,333"
Clark Phillips III,"$1,153,382"
Colby Wooden,"$1,151,982"
Jerry Jacobs,"$809,500"
Nyheim Hines,"$4,500,000"
Angelo Blackson,"$1,165,000"
Neville Hewitt,"$1,165,000"
Germain Ifedi,"$1,165,000"
Brent Urban,"$1,165,000"
Ugo Amadi,"$1,080,000"
Maurice Hurst,"$1,242,000"
John Johnson,"$1,080,000"
Troy Reeder,"$1,080,000"
Mason Rudolph,"$1,080,000"
Duke Shelley,"$1,080,000"
Ahkello Witherspoon,"$1,080,000"
Zayne Anderson,"$997,500"
Blake Brandel,"$940,000"
Wyatt Davis,"$940,000"
Dee Delaney,"$940,000"
Jody Fortson,"$940,000"
Jonas Griffith,"$882,500"
Mike Hoecht,"$742,500"
Ka'dar Hollman,"$997,500"
Albert Huggins,"$940,000"
Keith Ismael,"$940,000"
Michael Jackson,"$940,000"
Caleb Johnson,"$810,667"
Benito Jones,"$940,000"
Trey Lance,"$8,526,319"
Nick Leverett,"$940,000"
Nick McCloud,"$882,500"
Jason Pinnock,"$937,613"
Anthony Pittman,"$940,000"
Christian Rozeboom,"$823,333"
Grant Stuard,"$889,061"
Khyiris Tonga,"$825,000"
Jay Tufele,"$1,076,422"
Shaun Wade,"$949,391"
Jonah Williams,"$882,500"
Shane Zylstra,"$940,000"
Dominique Robinson,"$983,289"
Chamarri Conner,"$1,147,842"
Jon Gaines II,"$1,143,060"
Cameron Young,"$1,141,877"
Brandin Echols,"$913,546"
Damone Clark,"$975,638"
Kingsley Enagbare,"$975,638"
Tavius Robinson,"$1,140,141"
Isaiah McGuire,"$1,137,983"
Garrett Williams,"$1,408,733"
Viliami Fehoko Jr.,"$1,132,689"
Tyler Lacy,"$1,131,781"
Kyle Hinton,"$977,500"
Christian Benford,"$963,569"
Nick Herbig,"$1,128,230"
Nick Zakelj,"$962,589"
Malcolm Rodríguez,"$961,980"
Amaré Barno,"$961,351"
Jay Ward,"$1,123,386"
Sam Roberts,"$957,869"
Matt Henningsen,"$955,520"
Derion Kendrick,"$948,004"
Quentin Lake,"$948,004"
Ja'Sir Taylor,"$948,003"
Matt Dickerson,"$1,080,000"
Dean Marlowe,"$1,080,000"
Montaric Brown,"$943,995"
Mark Robinson,"$943,089"
Aviante Collins,"$1,010,000"
Deane Leonard,"$939,916"
Rodney Thomas,"$938,846"
Christian Holmes,"$938,470"
Jaylen Watson,"$936,343"
Skylar Thompson,"$935,554"
Elijah Hicks,"$934,252"
Russ Yeast,"$934,252"
Da'shawn Hand,"$1,080,000"
Andre Chachere,"$1,002,500"
Kader Kohou,"$863,333"
Malik Herring,"$816,667"
Kurt Hinish,"$861,667"
Markquese Bell,"$858,333"
Brenden Schooler,"$858,333"
Dee Alford,"$856,833"
Tony Adams,"$856,667"
Josh Jobe,"$856,667"
Luke Masterson,"$856,667"
D’Anthony Bell,"$855,833"
Jake Hansen,"$855,833"
Jack Sanborn,"$855,833"
Kingsley Jonathan,"$929,250"
Reed Blankenship,"$855,000"
Jake Hummel,"$855,000"
Jaylon Jones,"$854,167"
Coby Bryant,"$1,116,951"
Myles Adams,"$870,000"
Tre Avery,"$853,333"
Darrell Baker Jr.,"$787,500"
Earnest Brown,"$787,500"
Jack Cochrane,"$787,500"
Trevor Denbow,"$870,000"
Neil Farrell Jr.,"$1,095,076"
Elijah Garcia,"$853,333"
Jack Gibbens,"$705,000"
Devin Harper,"$959,380"
Theo Jackson,"$787,500"
Caleb Jones,"$787,500"
Nathan Landman,"$870,000"
Raheem Layne,"$787,500"
Jonathan Ledbetter,"$787,500"
Jesse Luketa,"$787,500"
Cameron McGrone,"$787,500"
Nick Muse,"$870,000"
Isaiah Pola-Mao,"$787,500"
John Ridgeway,"$975,638"
Nephi Sewell,"$927,500"
Chazz Surratt,"$942,500"
Nick Thurman,"$870,000"
Brandon Walton,"$787,500"
Chandler Wooten,"$927,500"
Jake Luton,"$1,010,000"
Kristian Welch,"$1,010,000"
Bradley Roby,"$1,165,000"
Yasir Abdullah,"$1,051,304"
Randy Gregory,"$14,000,000"
K.J. Henry,"$1,049,816"
Rasul Douglas,"$7,000,000"
Kyle Peko,"$1,080,000"
Ronnie Perkins,"$940,000"
Artie Burns,"$1,080,000"
Sam Eguavoen,"$1,080,000"
Ty Summers,"$1,080,000"
Jaquelin Roy,"$1,044,943"
Jammie Robinson,"$1,042,383"
Jordan Howden,"$1,041,682"
Noah Sewell,"$1,041,237"
SirVocea Dennis,"$1,039,331"
D'Marco Jackson,"$994,229"
Tycen Anderson,"$991,521"
Antonio Johnson,"$1,035,458"
Nick Hampton,"$1,034,776"
Chase Lucas,"$870,000"
Terell Smith,"$1,028,971"
